code,main_accords_pct,top_notes_pct,middle_notes_pct,base_notes_pct,sentiment_pct,gender_score,longevity_score,sillage_score,day_night_score,season_score,scent_dna
h2,"{'vanilla': 20.1, 'coffee': 17.7, 'white floral': 16.3, 'warm spicy': 12.9, 'sweet': 11.9, 'citrus': 11.1, 'powdery': 10.1}",{'Orange Blossom': 0.2299},{'Coffee': 0.3103},{'Vanilla': 0.4598},"{'love': 34.1, 'like': 43.7, 'ok': 15.3, 'dislike': 5.2, 'hate': 1.7}",7,43.6,29.3,54.1,49.3,"A for women perfume with vanilla, coffee, white floral, warm spicy, sweet, citrus, powdery accords. Features notes of Orange Blossom. Good for {'winter': 97.0962, 'spring': 56.4428, 'summer': 35.7532, 'fall': 100.0, 'day': 78.9474, 'night': 93.1034}."
h4,"{'amber': 14.7, 'smoky': 11.5, 'woody': 11.1, 'oud': 10.6, 'cannabis': 9.7, 'balsamic': 9.4, 'green': 8.7, 'aromatic': 8.4, 'warm spicy': 8.0, 'tobacco': 7.8}","{'cannabis': 0.0646, 'Green Notes': 0.0447, 'Davana': 0.0356, 'Saffron': 0.0353, 'Thyme': 0.0349}","{'Resins': 0.0618, 'Woodsy Notes': 0.0604, 'Tobacco': 0.0538, 'Coffee': 0.044, 'Cinnamon': 0.0349, 'Violet': 0.0349, 'Raspberry': 0.0349}","{'Agarwood (Oud)': 0.0699, 'Incense': 0.0688, 'Amber': 0.0363, 'Animal notes': 0.036, 'Guaiac Wood': 0.036, 'Tonka': 0.0356, 'Musk': 0.0356, 'Gurjan balsam': 0.0356, 'Cedar': 0.0356, 'Ambroxan': 0.0353, 'Vanilla': 0.0353}","{'love': 49.8, 'like': 28.4, 'ok': 6.5, 'dislike': 11.9, 'hate': 3.5}",75.4,81.2,67.7,71.9,46.6,"A for women and men perfume with amber, smoky, woody, oud, cannabis, balsamic, green, aromatic, warm spicy, tobacco accords. Features notes of cannabis, Green Notes, Davana, Saffron, Thyme. Good for {'winter': 100.0, 'spring': 30.1587, 'summer': 17.7824, 'fall': 88.1758, 'day': 37.9342, 'night': 97.2625}."
h5,"{'powdery': 14.6, 'musky': 14.5, 'floral': 11.1, 'white floral': 10.4, 'vanilla': 9.8, 'violet': 9.1, 'sweet': 8.2, 'honey': 7.8, 'animalic': 7.5, 'aquatic': 7.0}","{'Lily': 0.112, 'Vanilla': 0.104, 'Violet': 0.096}","{'White Musk': 0.16, 'Lotus': 0.104, 'Honey': 0.08}","{'White Musk': 0.16, 'Lotus': 0.104, 'Honey': 0.08}","{'love': 64.5, 'like': 28.4, 'ok': 7.1, 'dislike': 0.0, 'hate': 0.0}",31.2,75,33.3,46.2,53.3,"A for women and men perfume with powdery, musky, floral, white floral, vanilla, violet, sweet, honey, animalic, aquatic accords. Features notes of Lily, Vanilla, Violet. Good for {'winter': 71.4286, 'spring': 100.0, 'summer': 85.7143, 'fall': 100.0, 'day': 100.0, 'night': 85.7143}."
h12,"{'lavender': 14.1, 'woody': 14.1, 'citrus': 12.1, 'floral': 10.0, 'musky': 9.4, 'fresh spicy': 8.7, 'aromatic': 8.5, 'fresh': 8.2, 'fruity': 7.9, 'sweet': 7.0}","{'Lavender': 0.2191, 'Citruses': 0.1851}","{'Floral Notes': 0.1303, 'Fruity Notes': 0.1095}","{'Woodsy Notes': 0.2191, 'Musk': 0.1369}","{'love': 30.7, 'like': 50.3, 'ok': 0.0, 'dislike': 19.1, 'hate': 0.0}",95,65.4,53.3,21.7,54.6,"A for women and men perfume with lavender, woody, citrus, floral, musky, fresh spicy, aromatic, fresh, fruity, sweet accords. Features notes of Lavender, Citruses. Good for {'winter': 33.3333, 'spring': 38.8889, 'summer': 94.4444, 'fall': 33.3333, 'day': 100.0, 'night': 27.7778}."
h13,"{'rose': 20.4, 'floral': 18.6, 'warm spicy': 16.4, 'musky': 15.3, 'powdery': 14.9, 'woody': 14.3}","{'Rose': 0.3077, 'Spices': 0.2015, 'Musk': 0.1831, 'Floral Notes': 0.1538, 'Sandalwood': 0.1538}",{},{},"{'love': 36.0, 'like': 47.4, 'ok': 6.2, 'dislike': 10.0, 'hate': 0.5}",25,71.4,58.1,44.8,47,"A for women perfume with rose, floral, warm spicy, musky, powdery, woody accords. Features notes of Rose, Spices, Musk, Floral Notes, Sandalwood. Good for {'winter': 87.1622, 'spring': 83.7838, 'summer': 50.0, 'fall': 80.4054, 'day': 100.0, 'night': 81.0811}."
h17,"{'aromatic': 18.7, 'woody': 14.2, 'fresh spicy': 10.9, 'herbal': 10.5, 'oud': 10.1, 'lavender': 9.9, 'earthy': 8.8, 'soft spicy': 8.4, 'patchouli': 8.4}","{'Agarwood (Oud)': 0.1638, 'Cedar': 0.1011}","{'Sage': 0.2022, 'Lavender': 0.1557, 'Rosemary': 0.1426}","{'Vetiver': 0.1284, 'Patchouli': 0.1062}","{'love': 24.4, 'like': 42.0, 'ok': 12.2, 'dislike': 14.3, 'hate': 7.1}",68.3,60.8,56,43.9,51.2,"A for women and men perfume with aromatic, woody, fresh spicy, herbal, oud, lavender, earthy, soft spicy, patchouli accords. Features notes of Agarwood (Oud), Cedar. Good for {'winter': 67.4699, 'spring': 100.0, 'summer': 66.2651, 'fall': 86.747, 'day': 89.1566, 'night': 69.8795}."
h18,"{'sweet': 18.3, 'warm spicy': 14.9, 'vanilla': 14.7, 'amber': 14.1, 'cinnamon': 12.3, 'woody': 8.8, 'fresh spicy': 8.8, 'fruity': 8.1}","{'Cinnamon': 0.1112, 'Nutmeg': 0.0767, 'Bergamot': 0.0567}","{'Dates': 0.0962, 'Praline': 0.0884, 'Tuberose': 0.0578, 'Mahonial': 0.0556}","{'Vanilla': 0.1034, 'Tonka Bean': 0.0812, 'Amberwood': 0.0728, 'Myrrh': 0.0684, 'Benzoin': 0.0673, 'Akigalawood': 0.0645}","{'love': 58.8, 'like': 25.9, 'ok': 8.2, 'dislike': 4.7, 'hate': 2.4}",49.7,72,57.1,67.9,45.5,"A for women and men perfume with sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity accords. Features notes of Cinnamon, Nutmeg, Bergamot. Good for {'winter': 100.0, 'spring': 22.2011, 'summer': 12.7931, 'fall': 83.4848, 'day': 37.8957, 'night': 80.3048}."
h21,"{'musky': 14.9, 'powdery': 12.7, 'citrus': 12.1, 'vanilla': 11.6, 'sweet': 10.9, 'fruity': 9.1, 'amber': 7.9, 'fresh spicy': 7.2, 'aquatic': 6.9, 'animalic': 6.7}","{'Bergamot': 0.1415, 'Orange': 0.123}","{'Vanilla': 0.1894, 'Pear': 0.1734}","{'Musk': 0.246, 'Amber': 0.1267}","{'love': 36.6, 'like': 34.4, 'ok': 13.9, 'dislike': 8.8, 'hate': 6.2}",35.7,66.3,52.5,38.6,53.1,"A for women and men perfume with musky, powdery, citrus, vanilla, sweet, fruity, amber, fresh spicy, aquatic, animalic accords. Features notes of Bergamot, Orange. Good for {'winter': 52.1359, 'spring': 97.0874, 'summer': 89.1262, 'fall': 73.8835, 'day': 100.0, 'night': 62.9126}."
h24,"{'cherry': 14.2, 'sweet': 13.3, 'almond': 12.2, 'nutty': 10.9, 'fruity': 10.3, 'vanilla': 9.1, 'warm spicy': 8.2, 'amber': 7.6, 'woody': 7.4, 'balsamic': 6.8}","{'Bitter Almond': 0.0818, 'Black Cherry': 0.0645, 'Cherry Liqueur': 0.0583}","{'Sour Cherry': 0.0963, 'Plum': 0.0554, 'Turkish Rose': 0.0496, 'Jasmine Sambac': 0.0481}","{'Vanilla': 0.0645, 'Tonka Bean': 0.0631, 'Cinnamon': 0.0563, 'Peru Balsam': 0.0549, 'Sandalwood': 0.0539, 'Benzoin': 0.0534, 'Cloves': 0.0515, 'Cedar': 0.0506, 'Patchouli': 0.0491, 'Vetiver': 0.0486}","{'love': 48.1, 'like': 29.3, 'ok': 11.1, 'dislike': 8.2, 'hate': 3.4}",24.4,53.4,41.6,58.9,49.6,"A for women and men perfume with cherry, sweet, almond, nutty, fruity, vanilla, warm spicy, amber, woody, balsamic accords. Features notes of Bitter Almond, Black Cherry, Cherry Liqueur. Good for {'winter': 96.1172, 'spring': 53.6264, 'summer': 34.7436, 'fall': 100.0, 'day': 65.4762, 'night': 93.6447}."
h25,"{'amber': 14.9, 'oud': 12.2, 'warm spicy': 11.6, 'rose': 10.7, 'smoky': 10.6, 'woody': 8.5, 'fruity': 8.5, 'leather': 8.2, 'balsamic': 7.5, 'sweet': 7.2}","{'Agarwood (Oud)': 0.1567, 'Incense': 0.1277, 'Rose': 0.1246, 'Raspberry': 0.1136, 'Amberwood': 0.1042, 'Saffron': 0.1027, 'Birch': 0.0964, 'Benzoin': 0.0956, 'Geranium': 0.0784}",{},{},"{'love': 64.1, 'like': 17.9, 'ok': 7.1, 'dislike': 6.4, 'hate': 4.5}",78.8,86.5,77.8,75.1,44.2,"A for women and men perfume with amber, oud, warm spicy, rose, smoky, woody, fruity, leather, balsamic, sweet accords. Features notes of Agarwood (Oud), Incense, Rose, Raspberry, Amberwood, Saffron, Birch, Benzoin, Geranium. Good for {'winter': 100.0, 'spring': 27.1668, 'summer': 13.2556, 'fall': 79.3882, 'day': 29.4246, 'night': 88.7109}."
